date,amount,transaction_id,customer_id
2026-06-01,10500,TXN-001,CUST-A
2026-06-02,11200,TXN-002,CUST-B
2026-06-03,9800,TXN-003,CUST-C
2026-06-04,10250,TXN-004,CUST-D
2026-06-05,10800,TXN-005,CUST-E
2026-06-06,12000,TXN-006,CUST-F
2026-06-07,11500,TXN-007,CUST-G
2026-06-08,10300,TXN-008,CUST-H
2026-06-09,10100,TXN-009,CUST-I
2026-06-10,9500,TXN-010,CUST-J
2026-06-11,10400,TXN-011,CUST-K
2026-06-12,10900,TXN-012,CUST-L
2026-06-13,11100,TXN-013,CUST-M
2026-06-14,9900,TXN-014,CUST-N
2026-06-15,10600,TXN-015,CUST-O
2026-06-16,10200,TXN-016,CUST-P
2026-06-17,10550,TXN-017,CUST-Q
2026-06-18,10850,TXN-018,CUST-R
2026-06-19,11400,TXN-019,CUST-S
2026-06-20,9700,TXN-020,CUST-T
2026-06-21,10150,TXN-021,CUST-U
2026-06-22,10450,TXN-022,CUST-V
2026-06-23,10950,TXN-023,CUST-W
2026-06-24,11250,TXN-024,CUST-X
2026-06-25,9850,TXN-025,CUST-Y
2026-06-26,10650,TXN-026,CUST-Z
2026-06-27,10350,TXN-027,CUST-AA
2026-06-28,10750,TXN-028,CUST-AB
2026-06-29,11050,TXN-029,CUST-AC
2026-06-30,10050,TXN-030,CUST-AD
2026-07-01,10500,TXN-031,CUST-AE
2026-07-02,11200,TXN-032,CUST-AF
2026-07-03,9800,TXN-033,CUST-AG
2026-07-04,10250,TXN-034,CUST-AH
2026-07-05,10800,TXN-035,CUST-AI
2026-07-06,12000,TXN-036,CUST-AJ
2026-07-07,11500,TXN-037,CUST-AK
2026-07-08,10300,TXN-038,CUST-AL
2026-07-09,10100,TXN-039,CUST-AM
2026-07-10,9500,TXN-040,CUST-AN
2026-07-11,10400,TXN-041,CUST-AO
2026-07-12,10900,TXN-042,CUST-AP
2026-07-13,11100,TXN-043,CUST-AQ
2026-07-14,9900,TXN-044,CUST-AR
2026-07-15,10600,TXN-045,CUST-AS
2026-07-16,45000,TXN-046,CUST-AT
2026-07-17,10550,TXN-047,CUST-AU
2026-07-18,10850,TXN-048,CUST-AV
2026-07-19,11400,TXN-049,CUST-AW
2026-07-20,9700,TXN-050,CUST-AX
2026-07-21,10150,TXN-051,CUST-AY
2026-07-22,500,TXN-052,CUST-AZ
2026-07-23,10950,TXN-053,CUST-BA
2026-07-24,11250,TXN-054,CUST-BB
2026-07-25,9850,TXN-055,CUST-BC
2026-07-26,10650,TXN-056,CUST-BD
2026-07-27,24000,TXN-057,CUST-BE
2026-07-28,10750,TXN-058,CUST-BF
2026-07-29,11050,TXN-059,CUST-BG
2026-07-30,10050,TXN-060,CUST-BH
2026-07-31,10500,TXN-061,CUST-BI
2026-08-01,11200,TXN-062,CUST-BJ
2026-08-02,9800,TXN-063,CUST-BK
2026-08-03,2500,TXN-064,CUST-BL
2026-08-04,10800,TXN-065,CUST-BM
2026-08-05,12000,TXN-066,CUST-BN
2026-08-06,11500,TXN-067,CUST-BO
