ticket_id,customer_id,category,priority,status,escalated,resolution_hours,csat_score,created_at
TCK-0001-01,CUST-0001,Technical Bug,Low,Resolved,False,15.0,3.0,2025-05-22 00:00:00
TCK-0001-02,CUST-0001,Billing,Medium,Resolved,True,14.3,3.0,2026-04-04 00:00:00
TCK-0001-03,CUST-0001,Performance Issue,Urgent,In Progress,True,-1.0,1.0,2026-05-30 00:00:00
TCK-0001-04,CUST-0001,Technical Bug,Urgent,Closed,True,17.1,2.0,2025-06-28 00:00:00
TCK-0001-05,CUST-0001,Billing,Urgent,In Progress,True,-1.0,3.0,2025-09-19 00:00:00
TCK-0002-01,CUST-0002,Performance Issue,High,Resolved,False,5.2,4.0,2026-03-08 00:00:00
TCK-0002-02,CUST-0002,Billing,Medium,Escalation Pending,False,-1.0,2.0,2026-05-31 00:00:00
TCK-0002-03,CUST-0002,Account Access,Medium,Closed,False,16.7,3.0,2026-01-06 00:00:00
TCK-0002-04,CUST-0002,Performance Issue,Medium,Escalation Pending,False,-1.0,2.0,2026-01-31 00:00:00
TCK-0002-05,CUST-0002,Account Access,Low,Resolved,False,19.7,5.0,2026-02-25 00:00:00
TCK-0002-06,CUST-0002,Billing,Medium,In Progress,False,-1.0,1.0,2026-06-23 00:00:00
TCK-0003-01,CUST-0003,Performance Issue,High,Escalation Pending,False,-1.0,3.0,2025-11-28 00:00:00
TCK-0003-02,CUST-0003,Account Access,Medium,Closed,False,13.2,3.0,2026-05-29 00:00:00
TCK-0003-03,CUST-0003,Billing,Low,Closed,True,19.4,2.0,2026-03-09 00:00:00
TCK-0003-04,CUST-0003,Billing,Urgent,Escalation Pending,False,-1.0,3.0,2025-09-13 00:00:00
TCK-0003-05,CUST-0003,Performance Issue,Low,Resolved,False,17.0,5.0,2026-06-05 00:00:00
TCK-0003-06,CUST-0003,Account Access,Low,Closed,False,12.0,5.0,2026-01-19 00:00:00
TCK-0003-07,CUST-0003,Technical Bug,Low,In Progress,False,-1.0,3.0,2026-01-22 00:00:00
TCK-0003-08,CUST-0003,Performance Issue,Medium,Closed,False,13.9,3.0,2026-03-10 00:00:00
TCK-0003-09,CUST-0003,Account Access,Urgent,In Progress,True,-1.0,2.0,2025-09-07 00:00:00
TCK-0003-10,CUST-0003,Billing,Medium,Resolved,False,3.9,5.0,2026-06-29 00:00:00
TCK-0004-01,CUST-0004,Technical Bug,High,Escalation Pending,False,-1.0,1.0,2026-06-05 00:00:00
TCK-0004-02,CUST-0004,Technical Bug,High,In Progress,False,-1.0,2.0,2026-05-24 00:00:00
TCK-0004-03,CUST-0004,Feature Request,Low,Resolved,False,9.4,4.0,2026-06-30 00:00:00
TCK-0004-04,CUST-0004,Technical Bug,Low,Resolved,True,7.0,1.0,2026-02-18 00:00:00
