customer_id,name,segment
1,Customer_1,Enterprise
2,Customer_2,B2B
3,Customer_3,Enterprise
4,Customer_4,Enterprise
5,Customer_5,B2B
6,Customer_6,B2B
7,Customer_7,Enterprise
8,Customer_8,B2C
9,Customer_9,Enterprise
10,Customer_10,Enterprise
11,Customer_11,Enterprise
12,Customer_12,Enterprise
13,Customer_13,B2B
14,Customer_14,Enterprise
15,Customer_15,B2C
16,Customer_16,B2B
17,Customer_17,B2C
18,Customer_18,B2C
19,Customer_19,B2C
20,Customer_20,B2C
21,Customer_21,B2B
22,Customer_22,B2B
23,Customer_23,B2C
24,Customer_24,B2C
25,Customer_25,B2B
26,Customer_26,B2B
27,Customer_27,B2B
28,Customer_28,Enterprise
29,Customer_29,Enterprise
30,Customer_30,Enterprise
31,Customer_31,B2C
32,Customer_32,Enterprise
33,Customer_33,B2C
34,Customer_34,B2C
35,Customer_35,Enterprise
36,Customer_36,B2C
37,Customer_37,Enterprise
38,Customer_38,Enterprise
39,Customer_39,B2B
40,Customer_40,Enterprise
41,Customer_41,B2B
42,Customer_42,Enterprise
43,Customer_43,Enterprise
44,Customer_44,B2B
45,Customer_45,B2B
46,Customer_46,Enterprise
47,Customer_47,B2C
48,Customer_48,B2B
49,Customer_49,B2C
50,Customer_50,B2C
51,Customer_51,B2C
52,Customer_52,B2B
53,Customer_53,B2C
54,Customer_54,B2B
55,Customer_55,B2C
56,Customer_56,Enterprise
57,Customer_57,Enterprise
58,Customer_58,B2B
59,Customer_59,Enterprise
60,Customer_60,Enterprise
61,Customer_61,B2C
62,Customer_62,B2B
63,Customer_63,B2C
64,Customer_64,B2C
65,Customer_65,B2C
66,Customer_66,B2C
67,Customer_67,B2C
68,Customer_68,B2C
69,Customer_69,B2C
70,Customer_70,B2B
71,Customer_71,Enterprise
72,Customer_72,B2C
73,Customer_73,B2C
74,Customer_74,B2C
75,Customer_75,B2C
76,Customer_76,B2C
77,Customer_77,B2C
78,Customer_78,Enterprise
79,Customer_79,Enterprise
80,Customer_80,B2C
81,Customer_81,Enterprise
82,Customer_82,B2B
83,Customer_83,B2C
84,Customer_84,B2B
85,Customer_85,B2B
86,Customer_86,B2C
87,Customer_87,Enterprise
88,Customer_88,B2B
89,Customer_89,B2C
90,Customer_90,B2B
91,Customer_91,B2B
92,Customer_92,B2B
93,Customer_93,B2B
94,Customer_94,Enterprise
95,Customer_95,B2B
96,Customer_96,B2B
97,Customer_97,B2B
98,Customer_98,Enterprise
99,Customer_99,B2B
100,Customer_100,B2B
101,Customer_101,Enterprise
102,Customer_102,Enterprise
103,Customer_103,Enterprise
104,Customer_104,B2B
105,Customer_105,Enterprise
106,Customer_106,Enterprise
107,Customer_107,B2B
108,Customer_108,Enterprise
109,Customer_109,B2B
110,Customer_110,B2C
111,Customer_111,Enterprise
112,Customer_112,B2C
113,Customer_113,B2B
114,Customer_114,Enterprise
115,Customer_115,B2B
116,Customer_116,B2C
117,Customer_117,B2B
118,Customer_118,Enterprise
119,Customer_119,Enterprise
120,Customer_120,B2C
121,Customer_121,B2B
122,Customer_122,Enterprise
123,Customer_123,B2C
124,Customer_124,Enterprise
125,Customer_125,Enterprise
126,Customer_126,B2B
127,Customer_127,Enterprise
128,Customer_128,B2B
129,Customer_129,Enterprise
130,Customer_130,B2C
131,Customer_131,Enterprise
132,Customer_132,B2B
133,Customer_133,B2B
134,Customer_134,B2C
135,Customer_135,Enterprise
136,Customer_136,Enterprise
137,Customer_137,B2C
138,Customer_138,Enterprise
139,Customer_139,Enterprise
140,Customer_140,B2B
141,Customer_141,Enterprise
142,Customer_142,Enterprise
143,Customer_143,B2C
144,Customer_144,B2C
145,Customer_145,B2B
146,Customer_146,Enterprise
147,Customer_147,Enterprise
148,Customer_148,Enterprise
149,Customer_149,B2B
150,Customer_150,B2B
151,Customer_151,B2C
152,Customer_152,B2B
153,Customer_153,Enterprise
154,Customer_154,Enterprise
155,Customer_155,B2B
156,Customer_156,Enterprise
157,Customer_157,Enterprise
158,Customer_158,B2B
159,Customer_159,B2B
160,Customer_160,Enterprise
161,Customer_161,Enterprise
162,Customer_162,Enterprise
163,Customer_163,B2C
164,Customer_164,B2C
165,Customer_165,B2C
166,Customer_166,B2B
167,Customer_167,B2C
168,Customer_168,B2B
169,Customer_169,B2B
170,Customer_170,B2C
171,Customer_171,B2C
172,Customer_172,B2C
173,Customer_173,Enterprise
174,Customer_174,B2C
