order_id,customer_id,amount,order_date
1,759,473.91,2025-01-01 00:00:00
2,243,206.1,2025-01-01 01:00:00
3,543,393.82,2025-01-01 02:00:00
4,40,140.3,2025-01-01 03:00:00
5,229,495.26,2025-01-01 04:00:00
6,548,22.63,2025-01-01 05:00:00
7,223,305.73,2025-01-01 06:00:00
8,6,333.16,2025-01-01 07:00:00
9,322,347.14,2025-01-01 08:00:00
10,468,68.99,2025-01-01 09:00:00
11,732,469.88,2025-01-01 10:00:00
12,75,98.78,2025-01-01 11:00:00
13,4,315.15,2025-01-01 12:00:00
14,646,119.11,2025-01-01 13:00:00
15,118,160.54,2025-01-01 14:00:00
16,606,277.76,2025-01-01 15:00:00
17,504,214.42,2025-01-01 16:00:00
18,574,88.51,2025-01-01 17:00:00
19,441,93.76,2025-01-01 18:00:00
20,194,214.89,2025-01-01 19:00:00
21,715,381.07,2025-01-01 20:00:00
22,392,450.0,2025-01-01 21:00:00
23,26,51.22,2025-01-01 22:00:00
24,435,202.62,2025-01-01 23:00:00
25,173,59.12,2025-01-02 00:00:00
26,300,18.13,2025-01-02 01:00:00
27,645,334.24,2025-01-02 02:00:00
28,326,305.2,2025-01-02 03:00:00
29,410,89.88,2025-01-02 04:00:00
30,118,124.57,2025-01-02 05:00:00
31,787,21.62,2025-01-02 06:00:00
32,724,419.12,2025-01-02 07:00:00
33,225,487.6,2025-01-02 08:00:00
34,532,76.38,2025-01-02 09:00:00
35,113,123.42,2025-01-02 10:00:00
36,140,435.52,2025-01-02 11:00:00
37,559,463.97,2025-01-02 12:00:00
38,1,215.62,2025-01-02 13:00:00
39,90,34.81,2025-01-02 14:00:00
40,654,29.3,2025-01-02 15:00:00
41,320,291.24,2025-01-02 16:00:00
42,550,202.52,2025-01-02 17:00:00
43,139,24.04,2025-01-02 18:00:00
44,511,295.79,2025-01-02 19:00:00
45,259,15.54,2025-01-02 20:00:00
46,673,395.81,2025-01-02 21:00:00
47,690,160.15,2025-01-02 22:00:00
48,10,29.73,2025-01-02 23:00:00
49,261,298.29,2025-01-03 00:00:00
50,650,204.87,2025-01-03 01:00:00
51,172,487.16,2025-01-03 02:00:00
52,13,276.66,2025-01-03 03:00:00
53,168,144.87,2025-01-03 04:00:00
54,642,357.63,2025-01-03 05:00:00
55,596,143.03,2025-01-03 06:00:00
56,321,453.08,2025-01-03 07:00:00
57,319,193.61,2025-01-03 08:00:00
58,613,279.44,2025-01-03 09:00:00
59,329,34.78,2025-01-03 10:00:00
60,785,218.8,2025-01-03 11:00:00
61,777,417.86,2025-01-03 12:00:00
62,550,404.77,2025-01-03 13:00:00
63,419,119.92,2025-01-03 14:00:00
64,606,120.78,2025-01-03 15:00:00
65,95,410.48,2025-01-03 16:00:00
66,581,465.9,2025-01-03 17:00:00
67,318,56.73,2025-01-03 18:00:00
68,236,230.53,2025-01-03 19:00:00
69,334,175.35,2025-01-03 20:00:00
70,376,436.64,2025-01-03 21:00:00
71,459,50.93,2025-01-03 22:00:00
72,137,113.45,2025-01-03 23:00:00
73,588,378.71,2025-01-04 00:00:00
74,547,35.13,2025-01-04 01:00:00
75,513,251.34,2025-01-04 02:00:00
76,296,226.63,2025-01-04 03:00:00
77,320,173.86,2025-01-04 04:00:00
78,572,203.34,2025-01-04 05:00:00
79,349,269.67,2025-01-04 06:00:00
80,779,89.07,2025-01-04 07:00:00
81,229,290.28,2025-01-04 08:00:00
82,270,404.66,2025-01-04 09:00:00
83,798,382.48,2025-01-04 10:00:00
84,291,85.41,2025-01-04 11:00:00
85,725,83.13,2025-01-04 12:00:00
86,165,141.41,2025-01-04 13:00:00
87,5,186.93,2025-01-04 14:00:00
88,379,210.14,2025-01-04 15:00:00
89,78,343.05,2025-01-04 16:00:00
90,410,37.77,2025-01-04 17:00:00
91,574,26.99,2025-01-04 18:00:00
92,132,202.04,2025-01-04 19:00:00
93,601,351.61,2025-01-04 20:00:00
94,749,104.78,2025-01-04 21:00:00
95,42,324.34,2025-01-04 22:00:00
96,89,137.32,2025-01-04 23:00:00
97,402,444.18,2025-01-05 00:00:00
98,296,448.89,2025-01-05 01:00:00
99,295,155.67,2025-01-05 02:00:00
100,616,122.7,2025-01-05 03:00:00
101,526,211.54,2025-01-05 04:00:00
102,800,127.86,2025-01-05 05:00:00
103,691,339.47,2025-01-05 06:00:00
104,637,414.77,2025-01-05 07:00:00
105,422,339.82,2025-01-05 08:00:00
106,23,413.93,2025-01-05 09:00:00
107,575,204.53,2025-01-05 10:00:00
108,143,86.6,2025-01-05 11:00:00
109,665,371.6,2025-01-05 12:00:00
110,145,186.63,2025-01-05 13:00:00
111,225,338.92,2025-01-05 14:00:00
112,503,142.62,2025-01-05 15:00:00
113,616,49.8,2025-01-05 16:00:00
114,104,496.37,2025-01-05 17:00:00
115,39,86.54,2025-01-05 18:00:00
116,198,494.33,2025-01-05 19:00:00
117,646,488.87,2025-01-05 20:00:00
118,579,398.97,2025-01-05 21:00:00
119,391,333.12,2025-01-05 22:00:00
120,179,293.13,2025-01-05 23:00:00
121,554,434.39,2025-01-06 00:00:00
122,448,151.83,2025-01-06 01:00:00
123,500,239.16,2025-01-06 02:00:00
124,15,313.5,2025-01-06 03:00:00
125,623,211.48,2025-01-06 04:00:00
126,669,219.47,2025-01-06 05:00:00
127,289,171.84,2025-01-06 06:00:00
128,478,286.47,2025-01-06 07:00:00
129,231,426.78,2025-01-06 08:00:00
130,420,108.75,2025-01-06 09:00:00
131,157,467.87,2025-01-06 10:00:00
132,550,347.65,2025-01-06 11:00:00
133,441,413.4,2025-01-06 12:00:00
134,97,282.53,2025-01-06 13:00:00
135,411,391.96,2025-01-06 14:00:00
136,289,17.94,2025-01-06 15:00:00
137,254,411.01,2025-01-06 16:00:00
138,196,29.67,2025-01-06 17:00:00
139,598,446.06,2025-01-06 18:00:00
140,522,496.06,2025-01-06 19:00:00
141,517,154.09,2025-01-06 20:00:00
142,635,113.06,2025-01-06 21:00:00
143,118,385.03,2025-01-06 22:00:00
144,159,133.98,2025-01-06 23:00:00
145,228,434.13,2025-01-07 00:00:00
146,216,60.39,2025-01-07 01:00:00
147,696,71.72,2025-01-07 02:00:00
148,15,489.78,2025-01-07 03:00:00
149,157,340.18,2025-01-07 04:00:00
150,648,424.97,2025-01-07 05:00:00
151,261,168.92,2025-01-07 06:00:00
152,157,341.48,2025-01-07 07:00:00
153,47,301.18,2025-01-07 08:00:00
154,324,305.54,2025-01-07 09:00:00
155,685,344.44,2025-01-07 10:00:00
156,130,291.93,2025-01-07 11:00:00
157,411,220.24,2025-01-07 12:00:00
158,95,145.2,2025-01-07 13:00:00
159,627,386.6,2025-01-07 14:00:00
160,755,120.87,2025-01-07 15:00:00
161,292,349.25,2025-01-07 16:00:00
162,794,124.33,2025-01-07 17:00:00
163,283,316.41,2025-01-07 18:00:00
164,69,376.07,2025-01-07 19:00:00
165,660,117.17,2025-01-07 20:00:00
166,11,39.37,2025-01-07 21:00:00
167,254,74.18,2025-01-07 22:00:00
168,550,306.94,2025-01-07 23:00:00
169,134,426.23,2025-01-08 00:00:00
170,712,32.05,2025-01-08 01:00:00
171,23,369.73,2025-01-08 02:00:00
172,346,177.25,2025-01-08 03:00:00
173,302,244.48,2025-01-08 04:00:00
174,363,465.14,2025-01-08 05:00:00
175,396,172.67,2025-01-08 06:00:00
176,218,238.02,2025-01-08 07:00:00
177,141,16.7,2025-01-08 08:00:00
178,616,49.98,2025-01-08 09:00:00
179,210,136.71,2025-01-08 10:00:00
180,623,23.65,2025-01-08 11:00:00
181,616,319.37,2025-01-08 12:00:00
182,683,218.94,2025-01-08 13:00:00
183,460,278.59,2025-01-08 14:00:00
184,356,95.58,2025-01-08 15:00:00
185,324,155.01,2025-01-08 16:00:00
186,133,335.27,2025-01-08 17:00:00
187,127,483.0,2025-01-08 18:00:00
188,106,34.7,2025-01-08 19:00:00
189,604,446.29,2025-01-08 20:00:00
190,799,292.67,2025-01-08 21:00:00
191,378,286.32,2025-01-08 22:00:00
192,51,255.14,2025-01-08 23:00:00
193,29,44.0,2025-01-09 00:00:00
194,462,54.04,2025-01-09 01:00:00
195,296,304.45,2025-01-09 02:00:00
196,297,177.07,2025-01-09 03:00:00
197,726,459.46,2025-01-09 04:00:00
198,779,209.23,2025-01-09 05:00:00
199,407,80.21,2025-01-09 06:00:00
200,769,360.21,2025-01-09 07:00:00
201,613,153.74,2025-01-09 08:00:00
202,405,267.48,2025-01-09 09:00:00
203,346,351.94,2025-01-09 10:00:00
204,622,451.13,2025-01-09 11:00:00
205,420,398.17,2025-01-09 12:00:00
206,182,341.42,2025-01-09 13:00:00
207,1,343.02,2025-01-09 14:00:00
208,567,473.5,2025-01-09 15:00:00
209,371,154.95,2025-01-09 16:00:00
210,661,10.54,2025-01-09 17:00:00
211,431,143.26,2025-01-09 18:00:00
212,309,116.77,2025-01-09 19:00:00
213,137,334.3,2025-01-09 20:00:00
214,202,320.52,2025-01-09 21:00:00
215,436,300.8,2025-01-09 22:00:00
216,313,17.96,2025-01-09 23:00:00
217,117,367.1,2025-01-10 00:00:00
218,666,168.53,2025-01-10 01:00:00
219,575,335.88,2025-01-10 02:00:00
220,244,282.72,2025-01-10 03:00:00
221,537,177.94,2025-01-10 04:00:00
222,602,75.94,2025-01-10 05:00:00
223,75,56.27,2025-01-10 06:00:00
224,386,417.44,2025-01-10 07:00:00
225,210,460.01,2025-01-10 08:00:00
226,475,328.4,2025-01-10 09:00:00
227,418,60.68,2025-01-10 10:00:00
228,347,206.99,2025-01-10 11:00:00
229,529,367.18,2025-01-10 12:00:00
230,640,392.11,2025-01-10 13:00:00
231,763,67.93,2025-01-10 14:00:00
232,179,10.02,2025-01-10 15:00:00
233,182,358.95,2025-01-10 16:00:00
234,664,184.73,2025-01-10 17:00:00
235,25,134.7,2025-01-10 18:00:00
236,180,16.32,2025-01-10 19:00:00
237,710,274.75,2025-01-10 20:00:00
238,501,427.06,2025-01-10 21:00:00
239,161,479.24,2025-01-10 22:00:00
240,177,287.22,2025-01-10 23:00:00
241,285,262.09,2025-01-11 00:00:00
242,63,51.68,2025-01-11 01:00:00
243,662,278.95,2025-01-11 02:00:00
244,666,196.19,2025-01-11 03:00:00
245,156,307.5,2025-01-11 04:00:00
246,469,200.48,2025-01-11 05:00:00
247,49,127.75,2025-01-11 06:00:00
248,84,56.53,2025-01-11 07:00:00
249,361,164.31,2025-01-11 08:00:00
250,689,57.36,2025-01-11 09:00:00
251,148,96.68,2025-01-11 10:00:00
252,630,493.79,2025-01-11 11:00:00
253,342,227.61,2025-01-11 12:00:00
254,476,270.62,2025-01-11 13:00:00
255,63,438.07,2025-01-11 14:00:00
256,701,497.83,2025-01-11 15:00:00
257,360,295.53,2025-01-11 16:00:00
258,561,408.11,2025-01-11 17:00:00
259,327,170.2,2025-01-11 18:00:00
260,769,159.81,2025-01-11 19:00:00
