customer_id,name,segment
545,Customer_545,Enterprise
706,Customer_706,B2C
801,Customer_801,B2C
802,Customer_802,B2C
803,Customer_803,B2C
804,Customer_804,B2C
805,Customer_805,B2C
806,Customer_806,Enterprise
807,Customer_807,Enterprise
808,Customer_808,B2C
809,Customer_809,B2B
810,Customer_810,B2C
811,Customer_811,B2B
812,Customer_812,B2C
813,Customer_813,B2C
814,Customer_814,Enterprise
815,Customer_815,B2B
816,Customer_816,B2B
817,Customer_817,Enterprise
818,Customer_818,Enterprise
819,Customer_819,Enterprise
820,Customer_820,Enterprise
821,Customer_821,B2B
822,Customer_822,B2B
823,Customer_823,B2C
824,Customer_824,B2C
825,Customer_825,Enterprise
826,Customer_826,Enterprise
827,Customer_827,Enterprise
828,Customer_828,B2C
829,Customer_829,B2C
830,Customer_830,B2C
831,Customer_831,B2C
832,Customer_832,B2C
833,Customer_833,B2C
834,Customer_834,B2C
835,Customer_835,Enterprise
836,Customer_836,Enterprise
837,Customer_837,Enterprise
838,Customer_838,Enterprise
839,Customer_839,B2C
840,Customer_840,B2B
841,Customer_841,B2C
842,Customer_842,B2B
843,Customer_843,Enterprise
844,Customer_844,B2C
845,Customer_845,Enterprise
846,Customer_846,B2C
847,Customer_847,Enterprise
848,Customer_848,B2B
849,Customer_849,B2B
850,Customer_850,B2B
851,Customer_851,B2C
852,Customer_852,B2B
853,Customer_853,B2C
854,Customer_854,B2B
855,Customer_855,B2B
856,Customer_856,B2C
857,Customer_857,B2C
858,Customer_858,B2B
859,Customer_859,B2C
860,Customer_860,B2B
861,Customer_861,B2C
862,Customer_862,Enterprise
863,Customer_863,Enterprise
864,Customer_864,Enterprise
865,Customer_865,Enterprise
866,Customer_866,Enterprise
867,Customer_867,B2B
868,Customer_868,Enterprise
869,Customer_869,Enterprise
870,Customer_870,Enterprise
871,Customer_871,Enterprise
872,Customer_872,B2C
873,Customer_873,B2B
874,Customer_874,Enterprise
875,Customer_875,Enterprise
876,Customer_876,Enterprise
877,Customer_877,B2B
878,Customer_878,B2C
879,Customer_879,B2B
880,Customer_880,B2C
881,Customer_881,Enterprise
882,Customer_882,Enterprise
883,Customer_883,B2B
884,Customer_884,B2B
885,Customer_885,B2C
886,Customer_886,B2C
887,Customer_887,B2B
888,Customer_888,B2C
889,Customer_889,B2B
890,Customer_890,B2C
891,Customer_891,B2B
892,Customer_892,B2B
893,Customer_893,B2B
894,Customer_894,B2C
895,Customer_895,B2C
896,Customer_896,B2C
897,Customer_897,B2B
898,Customer_898,B2C
899,Customer_899,B2C
900,Customer_900,B2B
901,Customer_901,Enterprise
902,Customer_902,B2B
903,Customer_903,B2C
904,Customer_904,B2B
905,Customer_905,Enterprise
906,Customer_906,B2B
907,Customer_907,B2C
908,Customer_908,Enterprise
909,Customer_909,B2C
910,Customer_910,Enterprise
911,Customer_911,Enterprise
912,Customer_912,B2B
913,Customer_913,B2B
914,Customer_914,B2C
915,Customer_915,B2B
916,Customer_916,B2B
917,Customer_917,Enterprise
918,Customer_918,B2B
919,Customer_919,Enterprise
920,Customer_920,Enterprise
921,Customer_921,Enterprise
922,Customer_922,B2C
923,Customer_923,B2C
924,Customer_924,B2C
925,Customer_925,Enterprise
926,Customer_926,B2C
927,Customer_927,B2C
928,Customer_928,B2B
929,Customer_929,B2C
930,Customer_930,B2C
931,Customer_931,Enterprise
932,Customer_932,Enterprise
933,Customer_933,Enterprise
934,Customer_934,Enterprise
935,Customer_935,Enterprise
936,Customer_936,Enterprise
937,Customer_937,B2C
938,Customer_938,Enterprise
939,Customer_939,Enterprise
940,Customer_940,B2B
941,Customer_941,B2C
942,Customer_942,B2C
943,Customer_943,B2C
944,Customer_944,Enterprise
945,Customer_945,Enterprise
946,Customer_946,Enterprise
947,Customer_947,B2B
948,Customer_948,Enterprise
949,Customer_949,B2B
950,Customer_950,B2C
951,Customer_951,Enterprise
952,Customer_952,B2B
953,Customer_953,B2B
954,Customer_954,Enterprise
955,Customer_955,B2C
956,Customer_956,B2C
957,Customer_957,B2C
958,Customer_958,B2B
959,Customer_959,B2B
960,Customer_960,B2B
961,Customer_961,B2B
962,Customer_962,B2C
963,Customer_963,Enterprise
964,Customer_964,B2B
965,Customer_965,B2B
966,Customer_966,B2C
967,Customer_967,Enterprise
968,Customer_968,Enterprise
969,Customer_969,B2C
970,Customer_970,B2C
971,Customer_971,Enterprise
972,Customer_972,B2B
973,Customer_973,Enterprise
974,Customer_974,B2C
975,Customer_975,B2B
976,Customer_976,B2B
977,Customer_977,B2C
978,Customer_978,B2C
979,Customer_979,B2C
980,Customer_980,Enterprise
981,Customer_981,Enterprise
982,Customer_982,B2B
983,Customer_983,B2C
984,Customer_984,B2B
985,Customer_985,B2B
986,Customer_986,B2B
987,Customer_987,B2B
988,Customer_988,B2C
989,Customer_989,B2B
990,Customer_990,B2C
991,Customer_991,B2C
992,Customer_992,Enterprise
993,Customer_993,B2C
994,Customer_994,Enterprise
995,Customer_995,B2C
996,Customer_996,B2C
997,Customer_997,B2C
998,Customer_998,Enterprise
999,Customer_999,Enterprise
1000,Customer_1000,B2B
